,date,open,close,high,low,volume,code
1632,2016-09-29,197.532,200.662,202.682,197.532,23705.0,600519
1633,2016-09-30,199.682,207.592,209.312,199.682,29603.0,600519
1634,2016-10-10,208.192,212.642,213.542,208.192,21103.0,600519
1635,2016-10-11,213.682,218.602,218.682,212.682,41736.0,600519
1636,2016-10-12,218.182,215.502,218.182,214.582,19286.0,600519
1637,2016-10-13,216.482,213.572,216.622,213.192,16143.0,600519
1638,2016-10-14,213.152,215.282,215.682,212.882,12690.0,600519
1639,2016-10-17,215.132,212.132,215.182,211.182,18957.0,600519
1640,2016-10-18,212.182,216.842,218.182,211.682,30389.0,600519
1641,2016-10-19,218.182,216.132,218.432,214.782,14123.0,600519
1642,2016-10-20,217.072,215.162,217.072,214.482,14079.0,600519
1643,2016-10-21,214.762,213.872,215.162,212.272,11483.0,600519
1644,2016-10-24,212.282,216.612,216.682,212.282,26246.0,600519
1645,2016-10-25,217.072,222.622,222.682,217.072,43762.0,600519
1646,2016-10-26,222.682,223.362,227.992,221.332,46813.0,600519
1647,2016-10-27,222.672,226.552,227.902,220.692,32951.0,600519
1648,2016-10-28,227.182,226.732,228.112,223.682,20137.0,600519
1649,2016-10-31,228.682,227.632,232.482,226.482,43596.0,600519
1650,2016-11-01,227.632,226.362,228.682,225.232,19512.0,600519
1651,2016-11-02,225.772,224.862,226.842,223.362,20636.0,600519
1652,2016-11-03,224.682,225.542,226.142,223.832,18690.0,600519
1653,2016-11-04,225.672,224.502,227.932,223.662,20619.0,600519
1654,2016-11-07,224.682,225.012,226.682,222.882,16047.0,600519
1655,2016-11-08,226.182,229.682,231.862,225.362,34193.0,600519
1656,2016-11-09,229.682,226.492,231.652,223.482,30004.0,600519
1657,2016-11-10,228.782,228.812,230.682,227.412,17804.0,600519
1658,2016-11-11,227.672,224.762,227.982,224.482,35902.0,600519
1659,2016-11-14,225.232,220.672,225.552,219.672,39920.0,600519
1660,2016-11-15,219.712,223.692,225.332,219.712,24470.0,600519
1661,2016-11-16,223.492,222.832,225.082,221.682,13399.0,600519
1662,2016-11-17,221.762,220.722,222.682,220.212,18337.0,600519
1663,2016-11-18,220.842,219.682,221.482,219.562,19377.0,600519
1664,2016-11-21,220.702,219.182,221.342,218.052,26083.0,600519
1665,2016-11-22,219.982,218.552,220.132,218.052,26424.0,600519
1666,2016-11-23,220.682,222.632,222.682,218.792,34015.0,600519
